�÷�,核桃油,棕榈油,亚麻籽油,大豆油,菜籽油,葵花籽油,玉米油,混合油 ,
83.049,0.000,0.213,0.000,0.000,0.291,0.000,0.000,0.496
83.049,0.000,0.213,0.000,0.000,0.292,0.000,0.000,0.495
83.048,0.000,0.213,0.000,0.000,0.290,0.000,0.000,0.497
83.048,0.000,0.212,0.000,0.000,0.291,0.000,0.000,0.497
83.046,0.000,0.212,0.000,0.000,0.292,0.000,0.000,0.496
83.046,0.000,0.212,0.000,0.000,0.290,0.000,0.000,0.498
83.046,0.000,0.213,0.000,0.000,0.289,0.000,0.000,0.498
83.045,0.000,0.213,0.000,0.000,0.293,0.000,0.000,0.494
83.045,0.000,0.212,0.000,0.000,0.293,0.000,0.000,0.495
83.044,0.000,0.212,0.000,0.000,0.289,0.000,0.000,0.499
83.043,0.000,0.213,0.000,0.000,0.288,0.000,0.000,0.499
83.043,0.000,0.212,0.000,0.000,0.294,0.000,0.000,0.494
83.043,0.000,0.211,0.000,0.000,0.290,0.000,0.000,0.499
83.042,0.000,0.211,0.000,0.000,0.289,0.000,0.000,0.500
83.042,0.000,0.212,0.000,0.000,0.295,0.000,0.000,0.493
83.042,0.000,0.212,0.000,0.000,0.288,0.000,0.000,0.500
83.042,0.000,0.211,0.000,0.000,0.291,0.000,0.000,0.498
83.041,0.000,0.213,0.000,0.000,0.287,0.000,0.000,0.500
83.041,0.000,0.213,0.000,0.000,0.294,0.000,0.000,0.493
83.040,0.000,0.212,0.000,0.000,0.296,0.000,0.000,0.492
83.040,0.000,0.211,0.000,0.000,0.292,0.000,0.000,0.497
83.040,0.000,0.211,0.000,0.000,0.288,0.000,0.000,0.501
83.040,0.000,0.212,0.000,0.000,0.287,0.000,0.000,0.501
83.039,0.000,0.213,0.000,0.000,0.286,0.000,0.000,0.501
83.039,0.000,0.211,0.000,0.000,0.293,0.000,0.000,0.496
83.039,0.000,0.210,0.000,0.000,0.289,0.000,0.000,0.501
